Kevin Magnussen,2015,14,2015-03-29,1
Lewis Hamilton,2015,41,2015-10-04,102
Max Verstappen,2015,16,2015-04-12,6
Kimi Raikkonen,2015,10,2015-03-01,4
Valtteri Bottas,2016,17,2016-04-17,8
Nico Hulkenberg,2015,19,2015-05-03,8
Valtteri Bottas,2015,53,2015-12-27,2
Jolyon Palmer,2016,22,2016-05-22,32
Daniil Kvyat,2016,5,2016-01-24,6
Lewis Hamilton,2016,5,2016-01-24,7
Kimi Raikkonen,2015,8,2015-02-15,8
Valtteri Bottas,2016,15,2016-04-03,3
Daniil Kvyat,2015,41,2015-10-04,30
Carlos Sainz,2015,42,2015-10-11,21
Valtteri Bottas,2015,16,2015-04-12,11
Rio Haryanto,2016,9,2016-02-21,21
Kevin Magnussen,2015,53,2015-12-27,1
Felipe Nasr,2015,25,2015-06-14,20
Romain Grosjean,2015,50,2015-12-06,2
Max Verstappen,2015,12,2015-03-15,3
Felipe Nasr,2015,27,2015-06-28,25
Daniil Kvyat,2015,39,2015-09-20,58
Kevin Magnussen,2015,12,2015-03-15,4
Lewis Hamilton,2015,43,2015-10-18,36
Fernando Alonso,2016,13,2016-03-20,76
Lewis Hamilton,2016,3,2016-01-10,11
Kimi Raikkonen,2015,12,2015-03-15,5
Nico Hulkenberg,2015,21,2015-05-17,12
Kimi Raikkonen,2015,51,2015-12-13,10
Rio Haryanto,2016,5,2016-01-24,2
Esteban Gutierrez,2015,23,2015-05-31,1
Kimi Raikkonen,2016,13,2016-03-20,26
Fernando Alonso,2016,15,2016-04-03,1
Kimi Raikkonen,2016,15,2016-04-03,2
Nico Hulkenberg,2016,22,2016-05-22,24
Kevin Magnussen,2016,19,2016-05-01,58
Romain Grosjean,2015,52,2015-12-20,3
Valtteri Bottas,2015,12,2015-03-15,3
Kimi Raikkonen,2015,53,2015-12-27,1
Kevin Magnussen,2016,17,2016-04-17,10
Nico Hulkenberg,2015,23,2015-05-31,26
Lewis Hamilton,2015,2,2015-01-04,1
Daniil Kvyat,2016,1,2015-12-27,2
Kevin Magnussen,2016,15,2016-04-03,1
Lewis Hamilton,2016,7,2016-02-07,11
Daniil Kvyat,2016,3,2016-01-10,4
Fernando Alonso,2016,17,2016-04-17,13
Valtteri Bottas,2016,19,2016-05-01,20
Jolyon Palmer,2016,20,2016-05-08,53
Esteban Gutierrez,2015,21,2015-05-17,1
Carlos Sainz,2016,4,2016-01-17,4
